Id,FileName,FileType,FileSize,ImgDescription,ImgTitle,Display,Portion,ImgWidth,ImgHeight,ImgHorizontalResolution,ImgVerticalResolution,ImgBitDepth,LastEditDate,ImageType
B5961793-C3DD-4A28-B23C-31F1C7451FE5,110702156.png,Png,20422,"Apple, candied","Candied apple, 1 fruit",Aerial,1 fruit,160 pixels,160 pixels,96 pixels per inch,96 pixels per inch,Format32bppArgb,11/5/2013 11:04,Food
472F6D54-2174-4583-AC31-77A4E183FBDB,110702157.png,Png,19925,"Apple, candied","Candied apple, 3/4 fruit",Aerial,3/4 fruit,160 pixels,160 pixels,96 pixels per inch,96 pixels per inch,Format32bppArgb,11/5/2013 11:04,Food
20EB119D-9DF0-49DD-9D2D-5C1E128C5932,110702158.png,Png,18950,"Apple, candied","Candied apple, 1/2 fruit",Aerial,1/2 fruit,160 pixels,160 pixels,96 pixels per inch,96 pixels per inch,Format32bppArgb,11/5/2013 11:04,Food
437DC546-0025-44C2-ADEC-38ECAE30690C,110702159.png,Png,18110,"Apple, candied","Caramel apple, 1/4 fruit",Aerial,1/4 fruit,160 pixels,160 pixels,96 pixels per inch,96 pixels per inch,Format32bppArgb,11/5/2013 11:04,Food
55F17BE4-4B35-43AC-B7FA-E6BE181F07FC,110702211.png,Png,19865,"Apple, candied","Caramel apple, 1 fruit",Aerial,1 fruit,160 pixels,160 pixels,96 pixels per inch,96 pixels per inch,Format32bppArgb,11/5/2013 11:05,Food
45F6ED3D-E666-4C91-8E90-3B7325078FDA,110702212.png,Png,19711,"Apple, candied","Caramel apple, 3/4 fruit",Aerial,3/4 fruit,160 pixels,160 pixels,96 pixels per inch,96 pixels per inch,Format32bppArgb,11/5/2013 11:05,Food
10B20787-B9AE-44AF-98F5-750479C7282A,110702213.png,Png,19276,"Apple, candied","Caramel apple, 1/2 fruit",Aerial,1/2 fruit,160 pixels,160 pixels,96 pixels per inch,96 pixels per inch,Format32bppArgb,11/5/2013 11:05,Food
E65AC451-A4A4-46AC-9BF4-2A3D607DC868,110702214.png,Png,18971,"Apple, candied","Candied apple, 1/4 fruit",Aerial,1/4 fruit,160 pixels,160 pixels,96 pixels per inch,96 pixels per inch,Format32bppArgb,11/5/2013 11:05,Food
FBBA6171-131B-4004-BC6A-3499B4FEC078,022504069.png,Png,29413,"Apple, raw","Apple, yellow, raw, 1 large size",Aerial,1 large size,307 pixels,230 pixels,96 pixels per inch,96 pixels per inch,Format32bppArgb,10/9/2013 15:34,Food
F7EA6721-63DB-4AD8-B12B-6D2F8D03D5F1,022504070.png,Png,56552,"Apple, raw","Apple, yellow, raw, 1/4 large",Aerial,1/4 large,307 pixels,230 pixels,96 pixels per inch,96 pixels per inch,Format32bppArgb,10/9/2013 15:34,Food
3CD4AFA4-3C99-4962-9910-D3496B490152,022504071.png,Png,59887,"Apple, raw","Apple, yellow, raw, 1/2 large",Aerial,1/2 large,307 pixels,230 pixels,96 pixels per inch,96 pixels per inch,Format32bppArgb,10/9/2013 15:34,Food
936CD1CE-2AD3-4E3A-AF82-D2AC2D5D26C2,022504072.png,Png,63452,"Apple, raw","Apple, yellow, raw, 3/4 large",Aerial,3/4 large,307 pixels,230 pixels,96 pixels per inch,96 pixels per inch,Format32bppArgb,10/9/2013 15:34,Food
